sentence,true_person,true_task,true_deadline
"my, i was thinking that with the nsa meetings, i 'd like there are three of them, and they 're, i will have them done by monday.",speaker,will have them done,by monday
and we should each have a presentation to make.,everyone,have a presentation to make,
then i've i will also take notes during this meeting and i will send you a summary then as usual.,speaker,will also take notes during this meeting and send you a summary then as usual.,after meeting
", it's it's when we come back in thirty minutes, you will have a prototype ready.",other,will have a prototype ready,in thirty minutes
we should certainly take away the labels that say minus four times as well.,everyone,should take away the labels that say minus four times,
"i will by next week, though.",speaker,will complete task,by end of next week
"and then, secondly, we had, you may remember, the problem with the re - phrasing, that subject always re - phrase sort of the task that we gave them, and so we had a meeting on friday talking about how to avoid that, and it proved finally fruitful in the sense that we came up with a new scenario for how to get the subject m to really have intentions and sort of to act upon those, and there the idea is now that next actually we need to hire one more person to actually do that job because it 's getting more complicated.",everyone,hire one more person,next
"i 'm gonna go download "" transcriber "" and jane and i will look at it well i think the answer is we need to record as many as we can.",speaker and jane,will download “transcriber” and look at it,
well i will well i will i will need your snippets of code or it'd be good if i had them by tomorrow evening.,other,have your snippets of code,by tomorrow evening
"but i think what we should say is when i put out this call, i'll put both deadlines, and i think i'll say that when you send in your abstract, you need to mention that any technology you intend to use, so that at least if we have all the information ?",everyone,need to mention any technology you intend to use,two possible deadlines
"and the end result of this meeting has to be a decision on the details of this remote control, like absolute final decision, and then i'm gonna have to specify the final design in the final report.",speaker ,result of this meeting has to be a decision on the details of this remote control,by end of meeting
but we have to make the decisions on the remote control functions and how we were planning to proceed so that at the next meeting each person that's got a task to do is clear from this meeting what that task is.,everyone,make the decisions on the remote control functions and how we were planning to proceed,by end of meeting
we could probably i know if we'll have time to look at that before tomorrow.,everyone,look at that,by tomorrow
just record the audio clip and show an image and i think that 's and the last i item on the agenda is disk issues yet again.,other,record the audio clip and show an image,
i suggest that we decide on that one immediately.,everyone,decide on that,immediately